"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"94",32,70,"s53A","receiver","comp",150,2,2,"truth","trust","1",714.018,"waiting",94,"s53A+beta+event_094+tlrc"
"95",32,70,"s53A","receiver","comp",150,2,2,"truth","trust","2",721.018,"active",95,"s53A+beta+event_095+tlrc"
"96",32,70,"s53A","receiver","comp",150,2,2,"truth","trust","FB",728.018,"feedback",96,"s53A+beta+event_096+tlrc"
"97",33,10,"s53A","sender","coop",100,1,1,"truth","trust","1",736.0243,"active",97,"s53A+beta+event_097+tlrc"
"98",33,10,"s53A","sender","coop",100,1,1,"truth","trust","2",743.0243,"waiting",98,"s53A+beta+event_098+tlrc"
"99",33,10,"s53A","sender","coop",100,1,1,"truth","trust","FB",750.0243,"feedback",99,"s53A+beta+event_099+tlrc"
"100",34,25,"s53A","sender","comp",150,2,2,"lie","trust","1",757.0336,"active",100,"s53A+beta+event_100+tlrc"
"101",34,25,"s53A","sender","comp",150,2,2,"lie","trust","2",764.0336,"waiting",101,"s53A+beta+event_101+tlrc"
"102",34,25,"s53A","sender","comp",150,2,2,"lie","trust","FB",771.0336,"feedback",102,"s53A+beta+event_102+tlrc"
"103",35,70,"s53A","receiver","coop",100,2,2,"truth","trust","1",783.0391,"waiting",103,"s53A+beta+event_103+tlrc"
"104",35,70,"s53A","receiver","coop",100,2,2,"truth","trust","2",790.0391,"active",104,"s53A+beta+event_104+tlrc"
"105",35,70,"s53A","receiver","coop",100,2,2,"truth","trust","FB",797.0391,"feedback",105,"s53A+beta+event_105+tlrc"
"106",36,35,"s53A","receiver","comp",0,2,1,"truth","doubt","1",805.0442,"waiting",106,"s53A+beta+event_106+tlrc"
"107",36,35,"s53A","receiver","comp",0,2,1,"truth","doubt","2",812.0442,"active",107,"s53A+beta+event_107+tlrc"
"108",36,35,"s53A","receiver","comp",0,2,1,"truth","doubt","FB",819.0442,"feedback",108,"s53A+beta+event_108+tlrc"
"109",37,20,"s53A","sender","coop",100,1,1,"truth","trust","1",827.049,"active",109,"s53A+beta+event_109+tlrc"
"110",37,20,"s53A","sender","coop",100,1,1,"truth","trust","2",834.049,"waiting",110,"s53A+beta+event_110+tlrc"
"111",37,20,"s53A","sender","coop",100,1,1,"truth","trust","FB",841.049,"feedback",111,"s53A+beta+event_111+tlrc"
"112",38,80,"s53A","sender","comp",0,1,2,"lie","doubt","1",850.0543,"active",112,"s53A+beta+event_112+tlrc"
"113",38,80,"s53A","sender","comp",0,1,2,"lie","doubt","2",857.0543,"waiting",113,"s53A+beta+event_113+tlrc"
"114",38,80,"s53A","sender","comp",0,1,2,"lie","doubt","FB",864.0543,"feedback",114,"s53A+beta+event_114+tlrc"
"115",39,90,"s53A","receiver","coop",100,2,2,"truth","trust","1",872.059,"waiting",115,"s53A+beta+event_115+tlrc"
"116",39,90,"s53A","receiver","coop",100,2,2,"truth","trust","2",879.059,"active",116,"s53A+beta+event_116+tlrc"
"117",39,90,"s53A","receiver","coop",100,2,2,"truth","trust","FB",886.059,"feedback",117,"s53A+beta+event_117+tlrc"
"118",40,30,"s53A","receiver","comp",0,1,1,"truth","trust","1",893.0638,"waiting",118,"s53A+beta+event_118+tlrc"
"119",40,30,"s53A","receiver","comp",0,1,1,"truth","trust","2",900.0638,"active",119,"s53A+beta+event_119+tlrc"
"120",40,30,"s53A","receiver","comp",0,1,1,"truth","trust","FB",907.0638,"feedback",120,"s53A+beta+event_120+tlrc"
"121",41,75,"s53A","sender","coop",0,2,2,"truth","trust","1",916.0693,"active",121,"s53A+beta+event_121+tlrc"
"122",41,75,"s53A","sender","coop",0,2,2,"truth","trust","2",923.0693,"waiting",122,"s53A+beta+event_122+tlrc"
"123",41,75,"s53A","sender","coop",0,2,2,"truth","trust","FB",930.0693,"feedback",123,"s53A+beta+event_123+tlrc"
"124",42,85,"s53A","sender","comp",0,2,2,"truth","trust","1",941.0747,"active",124,"s53A+beta+event_124+tlrc"
"125",42,85,"s53A","sender","comp",0,2,2,"truth","trust","2",948.0747,"waiting",125,"s53A+beta+event_125+tlrc"
"126",42,85,"s53A","sender","comp",0,2,2,"truth","trust","FB",955.0747,"feedback",126,"s53A+beta+event_126+tlrc"
